global_idx,group,entropy,confidence,loc_score,centroid_row,centroid_col,dist_from_center
7348,Correct,0.5763844,0.74527246,0.8052915930747986,0.4491072261726054,0.5033591526694721,0.07212985976006277
7349,Correct,0.106999636,0.97855765,0.6995580196380615,0.6142974039907249,0.4781613867750251,0.16456501199592222
7350,Correct,0.329771,0.8984668,0.7396365404129028,0.42853218284123484,0.485169214527631,0.10322403874259249
7351,Correct,0.4936909,0.8051682,0.5736005306243896,0.4382337853518806,0.502778268056965,0.08743893921307495
7352,Correct,0.31358832,0.9067015,0.6345018744468689,0.5347792356313741,0.4856507596437979,0.05320706588231867
7353,Correct,0.5501685,0.7671767,0.5851428508758545,0.40509757805148655,0.48544637017000525,0.13578127877525825
7354,Correct,0.6053762,0.7157138,0.6971139311790466,0.5403442284979475,0.3883846849037972,0.16784299411723588
7355,Correct,0.08633202,0.9854452,0.6750625967979431,0.4619081341160111,0.5499686088855934,0.08885777535461035
7356,Correct,0.21383749,0.94538134,0.6272174119949341,0.6065664209205763,0.5047810661421523,0.15085927655452339
7357,Correct,0.64837205,0.6544254,0.2628220319747925,0.7034306396366822,0.48856597814260166,0.2881484409078942
7358,Correct,0.15805133,0.9657399,0.7774956226348877,0.4736409736211618,0.4427898057252421,0.08908203635521392
7359,Correct,0.303656,0.9096795,0.6833694577217102,0.4214291916500076,0.45508029397830263,0.12799337415543785
7360,Misclass_to_CNV,0.5279763,0.797896,0.5124245882034302,0.4280692087847629,0.5506123613496535,0.12438367936540495
7361,Correct,0.2728649,0.92269486,0.5848640203475952,0.5858180599950608,0.5373107251672973,0.13233918266201766
7362,Correct,0.17754166,0.9586185,0.7330269813537598,0.513894495954209,0.5506692801548356,0.07430252982544738
7363,Correct,0.25159,0.9318508,0.47777315974235535,0.5597712712888414,0.4280320657932735,0.1323025957830608
7364,Correct,0.26891497,0.9453167,0.692102313041687,0.518939998880487,0.4825020029282078,0.03646651776951836
7365,Correct,0.2048289,0.94862664,0.7470261454582214,0.5736813379004968,0.5191723371029556,0.1076709623324372
7366,Correct,0.19880655,0.95495194,0.2965136468410492,0.7565113259722096,0.48834641430150516,0.3631359701589842
7367,Correct,0.19287235,0.9525331,0.7224287986755371,0.5962831771280268,0.47777574705215553,0.13974525120344344
7368,Correct,0.42713848,0.8504154,0.6076554656028748,0.42064578937508473,0.5095588940542057,0.11303506712027861
7369,Correct,0.36123562,0.9129424,0.8770560622215271,0.49688915102608505,0.5187853558146543,0.026928311288369925
7370,Correct,0.37880877,0.88020766,0.3783144950866699,0.6787128694230935,0.4302304620533553,0.27131560265758387
7371,Correct,0.20806882,0.9479285,0.5241495966911316,0.3583765473704813,0.5237342453929441,0.20307888486535478
7372,Correct,0.17380607,0.9602945,0.7737697958946228,0.47403906846779725,0.49602976995626546,0.03714115487218703
7373,Correct,0.16400214,0.96215355,0.6522073149681091,0.5237091099506199,0.4508520092940897,0.07717054988891592
7374,Correct,0.15952952,0.9627255,0.4367087185382843,0.35432154826866047,0.4729212049066116,0.20954938531310432
7375,Correct,0.23761895,0.9490744,0.6012424230575562,0.4550747468696589,0.4666825413774071,0.0790990697529802
7376,Misclass_to_NORMAL,0.8012625,0.64407426,0.7976745367050171,0.5616396950518696,0.5204897844682184,0.091861670718984
7377,Correct,0.24018137,0.93740577,0.4902169704437256,0.4766384693205681,0.6340774562562672,0.19247090892827043
7378,Correct,0.56841785,0.75130844,0.5832563042640686,0.43085284591972955,0.52407211214775,0.10354511577717718
7379,Correct,0.5892447,0.73129654,0.55182945728302,0.54757234080916,0.5208369352384036,0.07344801536042059
7380,Correct,0.15855972,0.96309423,0.6882600784301758,0.4073848594439732,0.47033738760685334,0.13753134067694286
7381,Correct,0.71684986,0.5605516,0.4310922920703888,0.6033278078322578,0.5658084297806382,0.1732477145685517
7382,Correct,0.5165589,0.79904807,0.7506137490272522,0.564209688972247,0.4998330626859594,0.09080651987582739
7383,Correct,0.49044734,0.80865407,0.6753133535385132,0.43460515271184413,0.4950980142636422,0.09274174374035332
7384,Correct,0.52684975,0.79223007,0.6717807054519653,0.40759376112677337,0.4824432874285437,0.1330199318825006
7385,Correct,0.20344366,0.94856906,0.7178434133529663,0.43352724320390157,0.5091446893204797,0.09489207278631177
7386,Correct,0.42351595,0.8706965,0.594548761844635,0.572374564546955,0.4721584018645334,0.10966523770181846
7387,Correct,0.19715188,0.9526392,0.707476794719696,0.4874308366644384,0.5554974836046684,0.08047303341376498
7388,Correct,0.6655019,0.6453211,0.658768892288208,0.45484670980241904,0.5467956978903,0.09196365539393474
7389,Correct,0.12901141,0.97292566,0.715068519115448,0.42802421315055544,0.48582548025131433,0.10374421335865007
7390,Correct,0.46914202,0.8374742,0.6788109540939331,0.5310329330599715,0.4839162709920796,0.04943135185496931
7391,Correct,0.31930324,0.90315825,0.6948626041412354,0.4602598034840783,0.5159762870367202,0.060572683060992887
7392,Correct,0.15360829,0.96451294,0.6602012515068054,0.5406685956188614,0.5096181020037958,0.059100635457935494
7393,Correct,0.5900093,0.7306406,0.6981080770492554,0.40697771583571984,0.38923432738048236,0.20455893811806045
7394,Correct,0.24790801,0.93237704,0.7713964581489563,0.47781480288518186,0.45271905535885715,0.07386028292908374
7395,Correct,0.41975838,0.88468575,0.6837332248687744,0.5573755963015128,0.5680394627255376,0.12586760932768995
7396,Correct,0.4443301,0.83735603,0.6727113723754883,0.45917367164878753,0.5250545376552954,0.06774243786226815
7397,Correct,0.2510805,0.9319998,0.4391077160835266,0.5639315643434253,0.5077086309674151,0.09106775401632915
7398,Correct,0.71895874,0.55137765,0.5474249720573425,0.3598709763073297,0.45825629357557923,0.2067785303512392
7399,Correct,0.5729168,0.7421745,0.7847697734832764,0.48089687029802886,0.5003214056551682,0.02701972857026903
7400,Correct,0.2072347,0.94858795,0.6784611940383911,0.5429170089772984,0.5067021729210711,0.06142945191716191
7401,Correct,0.19950864,0.9497452,0.6018391847610474,0.4525283318855471,0.5442494270924714,0.0917776778043627
7402,Correct,0.44922078,0.8357723,0.1471303552389145,0.808244382409191,0.48831146413535753,0.43623668153304723
7403,Correct,0.27611172,0.92307544,0.5104328393936157,0.3948229842557297,0.4456410964676267,0.16743413650813477
7404,Correct,0.70978117,0.6635868,0.7386471033096313,0.483854242550723,0.5116190721554432,0.028131417360818464
7405,Correct,0.519464,0.7914436,0.6988077163696289,0.4667141594565211,0.5207310335951898,0.05545670265370617
7406,Correct,0.19956656,0.9506319,0.5856570601463318,0.5145345168267631,0.5019591619504962,0.020740804947529477
7407,Correct,0.25957745,0.9436206,0.7263779044151306,0.5215340832161475,0.4257818151935533,0.10928911835973279
7408,Correct,0.16902514,0.9601329,0.5945703387260437,0.4506582072452078,0.4316540472897214,0.11921226249117582
7409,Correct,0.5626403,0.7663825,0.5739485025405884,0.587473403441696,0.43161684017825624,0.15702135432405273
7410,Correct,0.31246993,0.90729874,0.6151131391525269,0.4068709071603602,0.5162130283753757,0.1336853785739861
7411,Misclass_to_CNV,0.31051648,0.9281897,0.33515462279319763,0.30799475054067177,0.6077399077622024,0.31136442810490333
7412,Correct,0.17603657,0.9578566,0.4336034953594208,0.3530196291742093,0.445334772265091,0.22177248040005507
7413,Correct,0.31174916,0.9060789,0.596953809261322,0.4629479070089576,0.47551399208319617,0.06280799596737079
7414,Misclass_to_NORMAL,0.402999,0.88208336,0.2581104040145874,0.560327092092051,0.5042212141248502,0.08552399299577443
7415,Correct,0.50895226,0.79469836,0.7565613389015198,0.48085099354910976,0.5078753301578449,0.029281573494308585
7416,Correct,0.11495462,0.97863984,0.5757158398628235,0.42116378815465005,0.5606111144641744,0.14063324994263732
