global_idx,label,pred,correct,loc_score
7348,2,2,1,0.8052915930747986
7349,2,2,1,0.6995580196380615
7350,2,2,1,0.7396365404129028
7351,2,2,1,0.5736005306243896
7352,2,2,1,0.6345018744468689
7353,2,2,1,0.5851428508758545
7354,2,2,1,0.6971139311790466
7355,2,2,1,0.6750625967979431
7356,2,2,1,0.6272174119949341
7357,2,2,1,0.2628220319747925
7358,2,2,1,0.7774956226348877
7359,2,2,1,0.6833694577217102
7360,2,0,0,0.5124245882034302
7361,2,2,1,0.5848640203475952
7362,2,2,1,0.7330269813537598
7363,2,2,1,0.47777315974235535
7364,2,2,1,0.692102313041687
7365,2,2,1,0.7470261454582214
7366,2,2,1,0.2965136468410492
7367,2,2,1,0.7224287986755371
7368,2,2,1,0.6076554656028748
7369,2,2,1,0.8770560622215271
7370,2,2,1,0.3783144950866699
7371,2,2,1,0.5241495966911316
7372,2,2,1,0.7737697958946228
7373,2,2,1,0.6522073149681091
7374,2,2,1,0.4367087185382843
7375,2,2,1,0.6012424230575562
7376,2,3,0,0.7976745367050171
7377,2,2,1,0.4902169704437256
7378,2,2,1,0.5832563042640686
7379,2,2,1,0.55182945728302
7380,2,2,1,0.6882600784301758
7381,2,2,1,0.4310922920703888
7382,2,2,1,0.7506137490272522
7383,2,2,1,0.6753133535385132
7384,2,2,1,0.6717807054519653
7385,2,2,1,0.7178434133529663
7386,2,2,1,0.594548761844635
7387,2,2,1,0.707476794719696
7388,2,2,1,0.658768892288208
7389,2,2,1,0.715068519115448
7390,2,2,1,0.6788109540939331
7391,2,2,1,0.6948626041412354
7392,2,2,1,0.6602012515068054
7393,2,2,1,0.6981080770492554
7394,2,2,1,0.7713964581489563
7395,2,2,1,0.6837332248687744
7396,2,2,1,0.6727113723754883
7397,2,2,1,0.4391077160835266
7398,2,2,1,0.5474249720573425
7399,2,2,1,0.7847697734832764
7400,2,2,1,0.6784611940383911
7401,2,2,1,0.6018391847610474
7402,2,2,1,0.1471303552389145
7403,2,2,1,0.5104328393936157
7404,2,2,1,0.7386471033096313
7405,2,2,1,0.6988077163696289
7406,2,2,1,0.5856570601463318
7407,2,2,1,0.7263779044151306
7408,2,2,1,0.5945703387260437
7409,2,2,1,0.5739485025405884
7410,2,2,1,0.6151131391525269
7411,2,0,0,0.33515462279319763
7412,2,2,1,0.4336034953594208
7413,2,2,1,0.596953809261322
7414,2,3,0,0.2581104040145874
7415,2,2,1,0.7565613389015198
7416,2,2,1,0.5757158398628235
7417,2,2,1,0.6879163980484009
7418,2,2,1,0.5782003998756409
7419,2,2,1,0.6537331938743591
7420,2,2,1,0.7679781317710876
7421,2,2,1,0.7039014101028442
7422,2,2,1,0.5508063435554504
7423,2,2,1,0.6857073903083801
7424,2,2,1,0.642978847026825
7425,2,2,1,0.7226743698120117
7426,2,2,1,0.6717349290847778
7427,2,2,1,0.6441120505332947
7428,2,2,1,0.6725525259971619
7429,2,2,1,0.6659015417098999
7430,2,2,1,0.6018253564834595
7431,2,0,0,0.12898297607898712
7432,2,2,1,0.44291049242019653
7433,2,2,1,0.7237387299537659
7434,2,0,0,0.20926901698112488
7435,2,2,1,0.670244574546814
7436,2,2,1,0.49675098061561584
7437,2,2,1,0.7124326825141907
7438,2,2,1,0.7697327136993408
7439,2,0,0,0.5370906591415405
7440,2,2,1,0.4653802514076233
7441,2,2,1,0.7453813552856445
7442,2,2,1,0.6718530654907227
7443,2,2,1,0.6112242937088013
7444,2,2,1,0.674994945526123
7445,2,2,1,0.6461126208305359
7446,2,2,1,0.6020919680595398
7447,2,3,0,0.49830862879753113
7448,2,2,1,0.6624775528907776
7449,2,2,1,0.5684789419174194
7450,2,2,1,0.7415036559104919
7451,2,2,1,0.7883691787719727
7452,2,2,1,0.6030343770980835
7453,2,2,1,0.8284677863121033
7454,2,2,1,0.4530726373195648
7455,2,2,1,0.21839255094528198
7456,2,2,1,0.6277114748954773
7457,2,2,1,0.7823137044906616
7458,2,2,1,0.7474377155303955
7459,2,2,1,0.6243348717689514
7460,2,2,1,0.61629319190979
7461,2,2,1,0.8221265077590942
7462,2,2,1,0.7737697958946228
7463,2,3,0,0.6362718939781189
7464,2,2,1,0.7178128957748413
7465,2,2,1,0.6428911685943604
