global_idx,label,cls,pred,correct,loc_score
0,0,CNV,0,1,0.42339757084846497
1,0,CNV,0,1,0.3837240934371948
2,0,CNV,0,1,0.5649368762969971
3,0,CNV,0,1,0.587666392326355
4,0,CNV,0,1,0.4590044915676117
5,0,CNV,0,1,0.6111781597137451
6,0,CNV,0,1,0.656608521938324
7,0,CNV,0,1,0.5536852478981018
8,0,CNV,0,1,0.3278016448020935
9,0,CNV,0,1,0.6614433526992798
10,0,CNV,0,1,0.5262244939804077
11,0,CNV,0,1,0.4233746826648712
12,0,CNV,0,1,0.5384320616722107
13,0,CNV,0,1,0.7281169891357422
14,0,CNV,0,1,0.604302167892456
15,0,CNV,0,1,0.5711277723312378
16,0,CNV,0,1,0.6556750535964966
17,0,CNV,0,1,0.5870075225830078
18,0,CNV,0,1,0.7081857919692993
19,0,CNV,0,1,0.45461970567703247
20,0,CNV,0,1,0.6525648236274719
21,0,CNV,0,1,0.6406609416007996
22,0,CNV,0,1,0.32216984033584595
23,0,CNV,0,1,0.8024810552597046
24,0,CNV,0,1,0.6960681676864624
25,0,CNV,0,1,0.748292088508606
26,0,CNV,0,1,0.6740237474441528
27,0,CNV,0,1,0.46675896644592285
28,0,CNV,0,1,0.49821484088897705
29,0,CNV,0,1,0.47530555725097656
30,0,CNV,0,1,0.5230310559272766
31,0,CNV,0,1,0.5618120431900024
32,0,CNV,0,1,0.3128775358200073
33,0,CNV,0,1,0.7388724684715271
34,0,CNV,0,1,0.476230651140213
35,0,CNV,0,1,0.35019707679748535
36,0,CNV,0,1,0.5031347274780273
37,0,CNV,0,1,0.6587672233581543
38,0,CNV,0,1,0.7103831171989441
39,0,CNV,0,1,0.592438280582428
40,0,CNV,0,1,0.7457252144813538
41,0,CNV,0,1,0.5309581756591797
42,0,CNV,0,1,0.6530832648277283
43,0,CNV,0,1,0.5378384590148926
44,0,CNV,0,1,0.5491209030151367
45,0,CNV,0,1,0.19919589161872864
46,0,CNV,0,1,0.7773888111114502
47,0,CNV,0,1,0.42569729685783386
48,0,CNV,0,1,0.5654972195625305
49,0,CNV,0,1,0.2317585051059723
50,0,CNV,0,1,0.6344637870788574
51,0,CNV,0,1,0.8559483289718628
52,0,CNV,0,1,0.5331748723983765
53,0,CNV,0,1,0.6660149097442627
54,0,CNV,0,1,0.5837879180908203
55,0,CNV,0,1,0.5207697153091431
56,0,CNV,0,1,0.6905925273895264
57,0,CNV,0,1,0.5098509788513184
58,0,CNV,0,1,0.7645005583763123
59,0,CNV,0,1,0.7482806444168091
60,0,CNV,0,1,0.39806798100471497
61,0,CNV,0,1,0.7474378347396851
62,0,CNV,0,1,0.6452690362930298
63,0,CNV,0,1,0.644043505191803
64,0,CNV,0,1,0.6728452444076538
65,0,CNV,0,1,0.6389207243919373
66,0,CNV,0,1,0.5943272709846497
67,0,CNV,0,1,0.5492541193962097
68,0,CNV,0,1,0.5026437640190125
69,0,CNV,0,1,0.3066521883010864
70,0,CNV,2,0,0.5584454536437988
71,0,CNV,0,1,0.5783373117446899
72,0,CNV,0,1,0.27655935287475586
73,0,CNV,0,1,0.7246456742286682
74,0,CNV,0,1,0.5385826230049133
75,0,CNV,0,1,0.6347084641456604
76,0,CNV,0,1,0.6489918828010559
77,0,CNV,0,1,0.5579724907875061
78,0,CNV,0,1,0.5667207837104797
79,0,CNV,0,1,0.453974187374115
80,0,CNV,0,1,0.6173412203788757
81,0,CNV,0,1,0.5580760836601257
82,0,CNV,0,1,0.5846203565597534
83,0,CNV,0,1,0.6721655130386353
84,0,CNV,0,1,0.35225895047187805
85,0,CNV,0,1,0.6868811845779419
86,0,CNV,0,1,0.567373514175415
87,0,CNV,0,1,0.755954921245575
