path,true_class,true_cls_nm,pred_class,correct,confidence,entropy,variation_ratio,mutual_info,std_pred
/kaggle/input/datasets/nafeesalmahadi/oct2026-retinal-oct2017-balanced-701515-split/OCT2026/test_balanced/CNV/CNV-9238054-24.jpeg,0,CNV,0,1,0.996567,0.025262175,0.0,0.00078175403,0.0018149826
/kaggle/input/datasets/nafeesalmahadi/oct2026-retinal-oct2017-balanced-701515-split/OCT2026/test_balanced/CNV/CNV-3571267-8.jpeg,0,CNV,0,1,0.9737235,0.14040005,0.0,0.0042787343,0.011685213
/kaggle/input/datasets/nafeesalmahadi/oct2026-retinal-oct2017-balanced-701515-split/OCT2026/test_balanced/CNV/CNV-5557306-157.jpeg,0,CNV,0,1,0.9763556,0.12850875,0.0,0.003110662,0.008754865
/kaggle/input/datasets/nafeesalmahadi/oct2026-retinal-oct2017-balanced-701515-split/OCT2026/test_balanced/CNV/CNV-1188386-561.jpeg,0,CNV,0,1,0.98843354,0.06407608,0.0,0.002038531,0.0071945833
/kaggle/input/datasets/nafeesalmahadi/oct2026-retinal-oct2017-balanced-701515-split/OCT2026/test_balanced/CNV/CNV-8796318-81.jpeg,0,CNV,0,1,0.996449,0.025999574,0.0,0.00081295334,0.0020940227
/kaggle/input/datasets/nafeesalmahadi/oct2026-retinal-oct2017-balanced-701515-split/OCT2026/test_balanced/CNV/CNV-5823679-39.jpeg,0,CNV,0,1,0.99110293,0.051527485,0.0,0.0013268925,0.0048277057
/kaggle/input/datasets/nafeesalmahadi/oct2026-retinal-oct2017-balanced-701515-split/OCT2026/test_balanced/CNV/CNV-8014630-6.jpeg,0,CNV,0,1,0.9836534,0.08724155,0.0,0.0025968254,0.009236781
/kaggle/input/datasets/nafeesalmahadi/oct2026-retinal-oct2017-balanced-701515-split/OCT2026/test_balanced/CNV/CNV-9540117-47.jpeg,0,CNV,0,1,0.803315,0.53880155,0.0,0.009757638,0.043243602
/kaggle/input/datasets/nafeesalmahadi/oct2026-retinal-oct2017-balanced-701515-split/OCT2026/test_balanced/CNV/CNV-6001487-63.jpeg,0,CNV,0,1,0.99375486,0.038061436,0.0,0.0013410896,0.0042391694
/kaggle/input/datasets/nafeesalmahadi/oct2026-retinal-oct2017-balanced-701515-split/OCT2026/test_balanced/CNV/CNV-7656403-2.jpeg,0,CNV,0,1,0.992496,0.045083396,0.0,0.0020713955,0.0062307604
/kaggle/input/datasets/nafeesalmahadi/oct2026-retinal-oct2017-balanced-701515-split/OCT2026/test_balanced/CNV/CNV-338282-1.jpeg,0,CNV,0,1,0.99430984,0.03838063,0.0,0.0008933991,0.002559586
/kaggle/input/datasets/nafeesalmahadi/oct2026-retinal-oct2017-balanced-701515-split/OCT2026/test_balanced/CNV/CNV-7531689-78.jpeg,0,CNV,0,1,0.99116105,0.052531186,0.0,0.001137644,0.004332795
/kaggle/input/datasets/nafeesalmahadi/oct2026-retinal-oct2017-balanced-701515-split/OCT2026/test_balanced/CNV/CNV-6741522-39.jpeg,0,CNV,0,1,0.98362994,0.08914878,0.0,0.0026926994,0.008942831
/kaggle/input/datasets/nafeesalmahadi/oct2026-retinal-oct2017-balanced-701515-split/OCT2026/test_balanced/CNV/CNV-5699128-54.jpeg,0,CNV,0,1,0.9725159,0.13359195,0.0,0.0040153265,0.014498146
/kaggle/input/datasets/nafeesalmahadi/oct2026-retinal-oct2017-balanced-701515-split/OCT2026/test_balanced/CNV/CNV-904464-166.jpeg,0,CNV,0,1,0.9988549,0.009419166,0.0,0.00048009586,0.0011385825
