true_class,true_cls_nm,pred_set,set_size,covered,is_multi
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,"['CNV', 'DRUSEN']",2,1,1
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,"['CNV', 'DRUSEN']",2,1,1
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,"['CNV', 'DME']",2,1,1
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
0,CNV,['CNV'],1,1,0
